CumCO2 (on x-axis), blue dots, solid red line, upper dotted red line, lower dotted red line, upper edge of grey patch, lower edge of grey patch  
 32.93,     75,  50.59,  67.98,  32.19,  67.40,  32.52 
 65.64,     64,  52.01,  68.94,  34.16,  68.31,  34.42 
 98.03,     69,  53.41,  69.86,  36.06,  69.29,  36.32 
130.14,     55,  54.79,  70.77,  37.95,  70.18,  38.19 
162.87,     23,  56.23,  71.74,  39.89,  71.13,  40.06 
196.92,     56,  57.71,  72.76,  41.90,  72.11,  42.01 
231.48,     16,  59.22,  73.75,  43.88,  73.09,  43.92 
266.41,     74,  60.74,  74.82,  45.91,  74.11,  45.83 
302.04,    110,  62.30,  75.93,  47.91,  75.19,  47.82 
338.57,     10,  63.88,  77.10,  49.92,  76.28,  49.88 
375.48,     80,  65.48,  78.30,  51.93,  77.38,  51.94 
412.04,     96,  67.07,  79.46,  53.89,  78.57,  54.04 
448.90,      0,  68.66,  80.70,  55.85,  79.77,  56.09 
485.09,     47,  70.23,  81.99,  57.78,  80.97,  58.07 
521.51,    120,  71.80,  83.32,  59.67,  82.12,  60.07 
558.57,     56,  73.38,  84.71,  61.52,  83.27,  62.10 
596.32,     98,  75.02,  86.24,  63.40,  84.53,  64.10 
634.94,     44,  76.70,  87.83,  65.32,  85.80,  66.14 
675.56,     95,  78.43,  89.48,  67.28,  87.22,  68.23 
714.53,    140,  80.12,  91.18,  69.07,  88.58,  70.28 
753.83,     75,  81.81,  92.99,  70.84,  90.10,  72.20 
793.56,     68,  83.53,  94.91,  72.64,  91.59,  74.15 
833.11,     47,  85.22,  96.94,  74.28,  93.06,  76.03 
873.71,     61,  86.95,  98.99,  75.99,  94.70,  77.82 
916.34,     92,  88.76, 101.24,  77.75,  96.37,  79.65 
960.08,     91,  90.61, 103.63,  79.51,  98.28,  81.52 
1004.36,     95,  92.50, 106.06,  81.25, 100.18,  83.33 
1050.06,     81,  94.42, 108.60,  82.92, 102.26,  84.98 
1096.18,    112,  96.40, 111.27,  84.56, 104.34,  86.70 
1143.21,    111,  98.41, 113.96,  86.21, 106.51,  88.47 
1190.08,    119, 100.41, 116.68,  87.81, 108.74,  90.03 
1238.62,    103, 102.48, 119.51,  89.42, 111.14,  91.65 
1288.58,    116, 104.61, 122.51,  91.03, 113.56,  93.29 
1339.13,    123, 106.75, 125.55,  92.65, 116.15,  94.85 
1389.92,    106, 108.94, 128.64,  94.23, 118.81,  96.46 
1441.22,    117, 111.13, 131.78,  95.80, 121.57,  98.01 
1493.22,    109, 113.37, 134.98,  97.33, 124.37,  99.53 
1544.33,    125, 115.57, 138.18,  98.78, 127.16, 101.03 
1595.91,    130, 117.79, 141.44, 100.26, 129.94, 102.55 
1648.27,     59, 120.01, 144.69, 101.79, 132.91, 104.04 
1701.12,    151, 122.31, 147.98, 103.25, 135.93, 105.39 
1751.90,    101, 124.47, 151.12, 104.66, 138.84, 106.85 
