CumCO2 (on x-axis), blue dots, solid red line, upper dotted red line, lower dotted red line, upper edge of grey patch, lower edge of grey patch  
 32.93,     61,  12.07,  27.52,  -1.64,  26.86,  -1.44 
 65.64,      0,  14.48,  29.55,   1.13,  28.82,   1.34 
 98.03,      0,  16.89,  31.57,   3.86,  30.77,   4.08 
130.14,      0,  19.28,  33.55,   6.57,  32.68,   6.75 
162.87,      0,  21.70,  35.63,   9.27,  34.66,   9.44 
196.92,     31,  24.22,  37.82,  12.02,  36.70,  12.23 
231.48,      0,  26.76,  40.06,  14.84,  38.79,  15.08 
266.41,     46,  29.33,  42.33,  17.67,  40.91,  17.97 
302.04,     21,  31.97,  44.70,  20.50,  43.04,  20.90 
338.57,      0,  34.67,  47.18,  23.33,  45.28,  23.88 
375.48,     60,  37.38,  49.76,  26.16,  47.53,  26.91 
412.04,     88,  40.08,  52.41,  28.98,  49.80,  29.85 
448.90,     45,  42.79,  55.08,  31.74,  52.13,  32.78 
485.09,     31,  45.43,  57.86,  34.45,  54.32,  35.71 
521.51,     82,  48.10,  60.61,  37.16,  56.54,  38.63 
558.57,      0,  50.81,  63.47,  39.85,  58.90,  41.56 
596.32,     45,  53.56,  66.44,  42.57,  61.29,  44.54 
634.94,     49,  56.38,  69.56,  45.32,  63.77,  47.57 
675.56,     85,  59.31,  72.88,  48.16,  66.38,  50.78 
714.53,     62,  62.14,  76.16,  50.89,  68.89,  53.78 
753.83,     75,  64.98,  79.50,  53.61,  71.47,  56.84 
793.56,     44,  67.85,  83.01,  56.32,  74.08,  59.87 
833.11,     32,  70.69,  86.44,  59.00,  76.70,  62.87 
873.71,     85,  73.63,  90.07,  61.73,  79.46,  65.93 
916.34,     84,  76.71,  93.89,  64.59,  82.35,  69.21 
960.08,     89,  79.86,  97.86,  67.45,  85.48,  72.41 
1004.36,    106,  83.06, 101.92,  70.34,  88.65,  75.63 
1050.06,     87,  86.37, 106.11,  73.28,  91.99,  78.91 
1096.18,    134,  89.69, 110.41,  76.24,  95.42,  82.17 
1143.21,     87,  93.09, 114.74,  79.20,  98.96,  85.45 
1190.08,    119,  96.49, 119.10,  82.14, 102.63,  88.69 
1238.62,     94,  99.98, 123.59,  85.17, 106.33,  92.05 
1288.58,    115, 103.59, 128.25,  88.24, 110.33,  95.41 
1339.13,     86, 107.25, 132.97,  91.36, 114.41,  98.76 
1389.92,     90, 110.93, 137.65,  94.43, 118.53, 102.08 
1441.22,    109, 114.67, 142.49,  97.55, 122.77, 105.31 
1493.22,    125, 118.43, 147.37, 100.70, 127.05, 108.62 
1544.33,    102, 122.14, 152.18, 103.74, 131.25, 111.81 
1595.91,    139, 125.87, 157.03, 106.78, 135.50, 115.02 
1648.27,    110, 129.66, 162.02, 109.90, 139.88, 118.31 
1701.12,    136, 133.49, 166.96, 113.00, 144.30, 121.61 
1751.90,    126, 137.19, 171.75, 115.99, 148.56, 124.74 
