CumCO2 (on x-axis), blue dots, solid red line, upper dotted red line, lower dotted red line, upper edge of grey patch, lower edge of grey patch  
 32.93,    127, 115.24, 126.13, 104.69, 122.22, 108.30 
 65.64,    116, 115.57, 126.18, 105.34, 122.41, 108.78 
 98.03,    121, 115.91, 126.24, 105.98, 122.60, 109.30 
130.14,    112, 116.25, 126.30, 106.61, 122.80, 109.81 
162.87,    114, 116.60, 126.36, 107.23, 123.00, 110.35 
196.92,    119, 116.94, 126.43, 107.88, 123.17, 110.87 
231.48,    104, 117.30, 126.50, 108.48, 123.37, 111.41 
266.41,     94, 117.67, 126.61, 109.11, 123.59, 111.95 
302.04,    117, 118.04, 126.71, 109.74, 123.82, 112.46 
338.57,    127, 118.44, 126.80, 110.39, 124.05, 112.98 
375.48,    107, 118.82, 126.95, 111.02, 124.26, 113.51 
412.04,    117, 119.21, 127.08, 111.61, 124.49, 114.06 
448.90,    126, 119.60, 127.27, 112.22, 124.74, 114.56 
485.09,     83, 119.99, 127.44, 112.79, 125.02, 115.04 
521.51,    118, 120.38, 127.65, 113.35, 125.26, 115.53 
558.57,    114, 120.77, 127.90, 113.90, 125.50, 116.02 
596.32,    115, 121.18, 128.15, 114.43, 125.80, 116.48 
634.94,    121, 121.58, 128.42, 114.96, 126.06, 116.96 
675.56,    117, 122.01, 128.77, 115.48, 126.39, 117.43 
714.53,    155, 122.41, 129.11, 115.94, 126.72, 117.90 
753.83,    163, 122.82, 129.50, 116.40, 127.05, 118.36 
793.56,    117, 123.23, 129.92, 116.82, 127.44, 118.81 
833.11,    152, 123.64, 130.38, 117.22, 127.80, 119.29 
873.71,    119, 124.06, 130.92, 117.61, 128.22, 119.75 
916.34,    130, 124.50, 131.49, 117.98, 128.66, 120.21 
960.08,    103, 124.94, 132.17, 118.36, 129.17, 120.66 
1004.36,    135, 125.39, 132.87, 118.70, 129.76, 121.08 
1050.06,    137, 125.85, 133.58, 119.03, 130.33, 121.50 
1096.18,    133, 126.31, 134.38, 119.33, 130.96, 121.92 
1143.21,    125, 126.77, 135.22, 119.61, 131.62, 122.35 
1190.08,    124, 127.24, 136.06, 119.88, 132.27, 122.70 
1238.62,    147, 127.73, 136.97, 120.08, 132.94, 123.10 
1288.58,    136, 128.23, 137.93, 120.29, 133.68, 123.48 
1339.13,    131, 128.73, 138.95, 120.47, 134.39, 123.89 
1389.92,    127, 129.25, 139.98, 120.64, 135.15, 124.27 
1441.22,    127, 129.77, 141.03, 120.79, 135.92, 124.63 
1493.22,    117, 130.28, 142.09, 120.93, 136.72, 125.00 
1544.33,    135, 130.80, 143.10, 121.05, 137.49, 125.31 
1595.91,    136, 131.33, 144.20, 121.18, 138.30, 125.63 
1648.27,    119, 131.86, 145.28, 121.26, 139.15, 125.95 
1701.12,    122, 132.40, 146.44, 121.35, 139.96, 126.28 
1751.90,    117, 132.92, 147.52, 121.42, 140.75, 126.57 
