CumCO2 (on x-axis), solid red line, upper dotted red line, lower dotted red line  
 32.93, -100.81, -73.18, -132.43 
 65.64, -98.67, -71.79, -129.43 
 98.03, -96.56, -70.36, -126.58 
130.14, -94.46, -68.98, -123.64 
162.87, -92.30, -67.50, -120.71 
196.92, -90.08, -66.00, -117.72 
231.48, -87.81, -64.38, -114.69 
266.41, -85.51, -62.72, -111.61 
302.04, -83.17, -61.07, -108.61 
338.57, -80.77, -59.30, -105.44 
375.48, -78.34, -57.60, -102.39 
412.04, -75.96, -55.72, -99.39 
448.90, -73.55, -53.85, -96.34 
485.09, -71.19, -51.90, -93.40 
521.51, -68.79, -49.99, -90.43 
558.57, -66.39, -47.87, -87.49 
596.32, -63.92, -45.66, -84.61 
634.94, -61.39, -43.33, -81.69 
675.56, -58.75, -40.76, -78.67 
714.53, -56.21, -38.18, -75.81 
753.83, -53.65, -35.53, -73.04 
793.56, -51.10, -32.68, -70.27 
833.11, -48.54, -29.76, -67.55 
873.71, -45.93, -26.73, -64.85 
916.34, -43.17, -23.42, -62.13 
960.08, -40.37, -19.89, -59.37 
1004.36, -37.54, -16.27, -56.70 
1050.06, -34.61, -12.39, -54.04 
1096.18, -31.63,  -8.49, -51.45 
1143.21, -28.63,  -4.39, -48.89 
1190.08, -25.61,  -0.20, -46.35 
1238.62, -22.48,   4.22, -43.76 
1288.58, -19.25,   8.69, -41.23 
1339.13, -16.01,  13.34, -38.77 
1389.92, -12.72,  18.00, -36.32 
1441.22,  -9.37,  22.73, -33.85 
1493.22,  -6.02,  27.49, -31.44 
1544.33,  -2.70,  32.15, -29.14 
1595.91,   0.65,  36.99, -26.82 
1648.27,   4.03,  41.89, -24.47 
1701.12,   7.50,  46.95, -22.18 
1751.90,  10.81,  51.74, -20.03 
