CumCO2 (on x-axis), solid red line, upper dotted red line, lower dotted red line  
 32.93, -159.05, -132.88, -187.15 
 65.64, -155.39, -129.88, -182.87 
 98.03, -151.77, -126.92, -178.61 
130.14, -148.18, -123.94, -174.51 
162.87, -144.53, -120.83, -170.28 
196.92, -140.75, -117.56, -165.93 
231.48, -136.89, -114.23, -161.58 
266.41, -133.00, -110.89, -157.25 
302.04, -129.03, -107.34, -152.85 
338.57, -124.96, -103.62, -148.32 
375.48, -120.86, -99.85, -143.75 
412.04, -116.78, -96.06, -139.30 
448.90, -112.69, -92.15, -134.88 
485.09, -108.70, -88.14, -130.56 
521.51, -104.67, -84.14, -126.27 
558.57, -100.56, -80.00, -121.94 
596.32, -96.42, -75.63, -117.65 
634.94, -92.17, -70.94, -113.27 
675.56, -87.70, -66.05, -108.73 
714.53, -83.43, -61.28, -104.38 
753.83, -79.13, -56.40, -100.06 
793.56, -74.80, -51.30, -95.76 
833.11, -70.50, -46.12, -91.56 
873.71, -66.10, -40.84, -87.30 
916.34, -61.47, -35.12, -82.84 
960.08, -56.70, -29.19, -78.24 
1004.36, -51.87, -23.24, -73.63 
1050.06, -46.91, -17.08, -69.03 
1096.18, -41.92, -10.89, -64.36 
1143.21, -36.81,  -4.29, -59.68 
1190.08, -31.68,   2.21, -55.14 
1238.62, -26.40,   9.01, -50.48 
1288.58, -20.96,  15.94, -45.59 
1339.13, -15.46,  23.12, -40.77 
1389.92,  -9.93,  30.32, -36.01 
1441.22,  -4.34,  37.69, -31.22 
1493.22,   1.35,  45.09, -26.40 
1544.33,   6.93,  52.42, -21.67 
1595.91,  12.56,  59.84, -16.96 
1648.27,  18.28,  67.30, -12.18 
1701.12,  24.08,  74.89,  -7.41 
1751.90,  29.65,  82.20,  -2.82 
