CumCO2 (on x-axis), solid red line, upper dotted red line, lower dotted red line  
 32.93, -21.63,  -4.99, -38.37 
 65.64, -20.78,  -4.62, -37.00 
 98.03, -19.95,  -4.25, -35.70 
130.14, -19.13,  -3.89, -34.46 
162.87, -18.28,  -3.48, -33.16 
196.92, -17.40,  -3.11, -31.82 
231.48, -16.50,  -2.69, -30.53 
266.41, -15.61,  -2.25, -29.21 
302.04, -14.69,  -1.70, -27.90 
338.57, -13.74,  -1.16, -26.58 
375.48, -12.79,  -0.62, -25.30 
412.04, -11.85,  -0.07, -24.07 
448.90, -10.90,   0.50, -22.83 
485.09,  -9.97,   1.15, -21.68 
521.51,  -9.03,   1.86, -20.59 
558.57,  -8.08,   2.59, -19.46 
596.32,  -7.11,   3.43, -18.36 
634.94,  -6.11,   4.34, -17.27 
675.56,  -5.06,   5.32, -16.14 
714.53,  -4.09,   6.39, -15.09 
753.83,  -3.10,   7.49, -14.06 
793.56,  -2.09,   8.66, -13.10 
833.11,  -1.11,   9.90, -12.17 
873.71,  -0.12,  11.26, -11.26 
916.34,   0.94,  12.73, -10.38 
960.08,   2.01,  14.31,  -9.54 
1004.36,   3.10,  16.00,  -8.68 
1050.06,   4.24,  17.75,  -7.84 
1096.18,   5.37,  19.51,  -7.05 
1143.21,   6.53,  21.40,  -6.27 
1190.08,   7.69,  23.31,  -5.52 
1238.62,   8.89,  25.32,  -4.80 
1288.58,  10.12,  27.45,  -4.06 
1339.13,  11.38,  29.62,  -3.36 
1389.92,  12.64,  31.77,  -2.71 
1441.22,  13.90,  33.99,  -2.09 
1493.22,  15.18,  36.29,  -1.43 
1544.33,  16.44,  38.52,  -0.86 
1595.91,  17.72,  40.80,  -0.30 
1648.27,  19.01,  43.11,   0.27 
1701.12,  20.32,  45.45,   0.84 
1751.90,  21.56,  47.70,   1.36 
