CumCO2 (on x-axis), solid red line, upper dotted red line, lower dotted red line  
 32.93,  -3.08,  13.65, -20.21 
 65.64,  -2.57,  13.75, -19.21 
 98.03,  -2.05,  13.83, -18.29 
130.14,  -1.55,  13.93, -17.34 
162.87,  -1.01,  14.03, -16.38 
196.92,  -0.47,  14.13, -15.45 
231.48,   0.08,  14.26, -14.48 
266.41,   0.63,  14.40, -13.53 
302.04,   1.18,  14.54, -12.58 
338.57,   1.77,  14.69, -11.60 
375.48,   2.36,  14.91, -10.63 
412.04,   2.93,  15.14,  -9.70 
448.90,   3.53,  15.41,  -8.80 
485.09,   4.10,  15.69,  -7.96 
521.51,   4.68,  15.95,  -7.13 
558.57,   5.28,  16.31,  -6.34 
596.32,   5.88,  16.67,  -5.57 
634.94,   6.50,  17.11,  -4.75 
675.56,   7.14,  17.59,  -3.96 
714.53,   7.75,  18.19,  -3.25 
753.83,   8.37,  18.80,  -2.57 
793.56,   8.99,  19.45,  -1.91 
833.11,   9.60,  20.18,  -1.32 
873.71,  10.23,  21.01,  -0.70 
916.34,  10.88,  21.92,  -0.06 
960.08,  11.56,  22.90,   0.55 
1004.36,  12.23,  23.99,   1.13 
1050.06,  12.90,  25.13,   1.68 
1096.18,  13.61,  26.32,   2.18 
1143.21,  14.31,  27.60,   2.63 
1190.08,  15.02,  28.90,   3.06 
1238.62,  15.75,  30.31,   3.44 
1288.58,  16.50,  31.77,   3.82 
1339.13,  17.27,  33.28,   4.13 
1389.92,  18.05,  34.85,   4.42 
1441.22,  18.82,  36.43,   4.68 
1493.22,  19.61,  38.03,   4.90 
1544.33,  20.38,  39.63,   5.10 
1595.91,  21.19,  41.26,   5.32 
1648.27,  22.01,  42.91,   5.51 
1701.12,  22.81,  44.60,   5.68 
1751.90,  23.60,  46.19,   5.80 
