Year  Arctic Basin,  North Beaufort Sea,  South Beaufort Sea,  Chukchi Sea,  Laptev Sea,  Kara Sea,  Barents Sea,  East Greenland,  Queen Elizabeth,  Norwegian Bay,  Kane Basin,  Viscount Melville Sound,  Lancaster Sound,  Baffin Bay,  McClintock Channel,  Gulf of Boothia,  Foxe Basin,  West Hudson Bay,  South Hudson Bay,  Davis Strait, 
1979,   0.0,   0.0,  75.0,  61.0,   0.0,  50.0,  60.0,  24.0,   0.0,   0.0,   0.0,   0.0,   0.0,  92.0,   0.0,   0.0,  87.0,  128.0,  151.0,  158.0, 
1980,   0.0,   0.0,  64.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  11.0,   0.0,   0.0,  91.0,   0.0,   0.0,  101.0,  133.0,  140.0,  172.0, 
1981,   0.0,   0.0,  69.0,   0.0,   0.0,   0.0,  13.0,   5.0,   0.0,   0.0,   0.0,   0.0,  17.0,  103.0,  40.0,   0.0,  120.0,  148.0,  145.0,  186.0, 
1982,   0.0,   0.0,  55.0,   0.0,   0.0,  20.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  86.0,   0.0,   0.0,  97.0,  121.0,  136.0,  148.0, 
1983,   0.0,   0.0,  23.0,   0.0,   0.0,  40.0,  75.0,   0.0,   0.0,   0.0,   0.0,   0.0,  17.0,  75.0,   0.0,   0.0,  74.0,  127.0,  138.0,  131.0, 
1984,   0.0,   0.0,  56.0,  31.0,   0.0,  57.0,  116.0,  40.0,   0.0,   0.0,   5.0,   0.0,  12.0,  96.0,  28.0,   0.0,  98.0,  119.0,  143.0,  140.0, 
1985,   0.0,   0.0,  16.0,   0.0,   0.0,  85.0,  84.0,  62.0,   0.0,   0.0,  22.0,   0.0,  19.0,  118.0,   0.0,  53.0,  117.0,  112.0,  128.0,  173.0, 
1986,   0.0,   0.0,  74.0,  46.0,   0.0,   0.0,  35.0,  27.0,   0.0,   0.0,   4.0,   0.0,   0.0,  67.0,   0.0,   0.0,  93.0,  118.0,  118.0,  150.0, 
1987,   0.0,   0.0,  110.0,  21.0,   0.0,  50.0,   0.0,   0.0,   0.0,   0.0,   5.0,   0.0,   0.0,  80.0,   0.0,   0.0,  101.0,  128.0,  141.0,  156.0, 
1988,   0.0,   0.0,  10.0,   0.0,   0.0,  17.0,   0.0,  29.0,   0.0,   0.0,  29.0,   0.0,   0.0,  109.0,  23.0,   0.0,  116.0,  122.0,  151.0,  162.0, 
1989,   0.0,   0.0,  80.0,  60.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  21.0,  84.0,  20.0,   0.0,  88.0,  134.0,  131.0,  164.0, 
